Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/bloodvenomfalls.hierarchical_graph.nop
Solution from (122,278), to (79,296). Optimal cost: 50.4558, Found cost: 56.4558, Expanded: 1013, Generated: 2828, Total duration: 0.00175469, First move duration: 7.0295e-05
Solution from (303,284), to (273,250). Optimal cost: 49.0122, Found cost: 51.9411, Expanded: 908, Generated: 2809, Total duration: 0.00159349, First move duration: 5.6276e-05
Solution from (193,388), to (234,357). Optimal cost: 53.8406, Found cost: 59.9411, Expanded: 1040, Generated: 3107, Total duration: 0.00184076, First move duration: 6.6738e-05
Solution from (193,376), to (169,421). Optimal cost: 54.9411, Found cost: 56.6985, Expanded: 1029, Generated: 3064, Total duration: 0.00187238, First move duration: 6.9319e-05
Solution from (389,192), to (385,246). Optimal cost: 55.6569, Found cost: 63.4558, Expanded: 1288, Generated: 3592, Total duration: 0.00207917, First move duration: 7.1362e-05
Solution from (121,166), to (109,115). Optimal cost: 55.9706, Found cost: 57.6274, Expanded: 1076, Generated: 2953, Total duration: 0.00183822, First move duration: 7.9356e-05
Solution from (361,383), to (371,431). Optimal cost: 52.1421, Found cost: 62.5269, Expanded: 1143, Generated: 3192, Total duration: 0.00186011, First move duration: 6.5016e-05
Solution from (348,266), to (298,278). Optimal cost: 54.9706, Found cost: 65.2548, Expanded: 1208, Generated: 3332, Total duration: 0.00203573, First move duration: 6.8725e-05
Solution from (277,367), to (248,327). Optimal cost: 52.0122, Found cost: 56.6985, Expanded: 1043, Generated: 3253, Total duration: 0.00197177, First move duration: 6.6698e-05
Solution from (280,406), to (259,359). Optimal cost: 55.6985, Found cost: 67.799, Expanded: 1436, Generated: 4203, Total duration: 0.00236759, First move duration: 8.3675e-05
Solution from (334,172), to (378,178). Optimal cost: 53.9411, Found cost: 57.3553, Expanded: 999, Generated: 2875, Total duration: 0.00173647, First move duration: 7.6772e-05
Solution from (326,165), to (344,213). Optimal cost: 55.4558, Found cost: 64.5269, Expanded: 1317, Generated: 3987, Total duration: 0.00221715, First move duration: 7.5451e-05
Solution from (150,428), to (189,388). Optimal cost: 56.1543, Found cost: 58.4975, Expanded: 921, Generated: 3043, Total duration: 0.001788, First move duration: 7.5215e-05
Solution from (269,125), to (236,170). Optimal cost: 58.669, Found cost: 79.8406, Expanded: 1542, Generated: 4397, Total duration: 0.00259399, First move duration: 8.1932e-05
Solution from (146,164), to (176,117). Optimal cost: 59.4264, Found cost: 66.1127, Expanded: 1319, Generated: 3964, Total duration: 0.002375, First move duration: 8.3786e-05
Solution from (196,218), to (188,271). Optimal cost: 56.3137, Found cost: 69.4264, Expanded: 1222, Generated: 3710, Total duration: 0.00214286, First move duration: 6.6011e-05
Solution from (197,136), to (154,161). Optimal cost: 57.4558, Found cost: 63.9411, Expanded: 1187, Generated: 2947, Total duration: 0.00193431, First move duration: 6.7992e-05
Solution from (334,441), to (382,417). Optimal cost: 57.9411, Found cost: 66.4264, Expanded: 1153, Generated: 3176, Total duration: 0.00191484, First move duration: 7.0728e-05
Solution from (77,369), to (59,419). Optimal cost: 57.4558, Found cost: 64.2843, Expanded: 1207, Generated: 3399, Total duration: 0.00198917, First move duration: 7.1174e-05
Solution from (425,203), to (381,183). Optimal cost: 56.4264, Found cost: 58.7696, Expanded: 988, Generated: 2635, Total duration: 0.0016862, First move duration: 5.6719e-05
Solution from (144,164), to (96,192). Optimal cost: 59.598, Found cost: 69.598, Expanded: 1303, Generated: 3988, Total duration: 0.00230335, First move duration: 8.4454e-05
Solution from (396,230), to (383,177). Optimal cost: 58.3848, Found cost: 66.2843, Expanded: 1300, Generated: 3575, Total duration: 0.00214915, First move duration: 7.6376e-05
Solution from (352,142), to (328,195). Optimal cost: 62.9411, Found cost: 66.1127, Expanded: 1310, Generated: 3945, Total duration: 0.00222119, First move duration: 6.8901e-05
Solution from (110,167), to (77,216). Optimal cost: 62.669, Found cost: 71.0122, Expanded: 1364, Generated: 4117, Total duration: 0.00251752, First move duration: 6.8889e-05
Solution from (421,214), to (380,169). Optimal cost: 63.1543, Found cost: 73.0122, Expanded: 1287, Generated: 3398, Total duration: 0.00214506, First move duration: 7.1432e-05
Solution from (81,195), to (59,247). Optimal cost: 61.1127, Found cost: 61.9411, Expanded: 1207, Generated: 3562, Total duration: 0.00202988, First move duration: 6.7461e-05
Solution from (393,385), to (353,421). Optimal cost: 60.1838, Found cost: 67.3553, Expanded: 1264, Generated: 3422, Total duration: 0.00205528, First move duration: 6.2331e-05
Solution from (244,281), to (277,280). Optimal cost: 61.9411, Found cost: 77.1127, Expanded: 1524, Generated: 4245, Total duration: 0.00242972, First move duration: 6.3262e-05
Solution from (400,152), to (343,138). Optimal cost: 62.799, Found cost: 72.2548, Expanded: 1356, Generated: 3993, Total duration: 0.00232036, First move duration: 9.8142e-05
Solution from (239,186), to (221,132). Optimal cost: 61.4558, Found cost: 63.4558, Expanded: 1223, Generated: 3447, Total duration: 0.00203073, First move duration: 7.265e-05
Solution from (324,286), to (289,308). Optimal cost: 62.2132, Found cost: 67.0416, Expanded: 1327, Generated: 3433, Total duration: 0.00211892, First move duration: 6.4208e-05
Solution from (135,255), to (191,269). Optimal cost: 61.799, Found cost: 74.4264, Expanded: 1399, Generated: 4169, Total duration: 0.00244157, First move duration: 7.6623e-05
Solution from (398,297), to (378,238). Optimal cost: 67.2843, Found cost: 76.3553, Expanded: 1530, Generated: 4577, Total duration: 0.00261769, First move duration: 6.4958e-05
Solution from (219,61), to (205,120). Optimal cost: 64.799, Found cost: 71.1838, Expanded: 1296, Generated: 3626, Total duration: 0.00222689, First move duration: 7.5111e-05
Solution from (403,162), to (426,210). Optimal cost: 64.799, Found cost: 70.3553, Expanded: 1363, Generated: 3521, Total duration: 0.00213882, First move duration: 7.6703e-05
Solution from (87,467), to (75,407). Optimal cost: 65.799, Found cost: 76.669, Expanded: 1424, Generated: 4004, Total duration: 0.0024769, First move duration: 6.6247e-05
Solution from (107,258), to (168,270). Optimal cost: 65.9706, Found cost: 93.5685, Expanded: 1819, Generated: 5307, Total duration: 0.00316699, First move duration: 8.134e-05
Solution from (210,401), to (255,445). Optimal cost: 66.7401, Found cost: 74.2548, Expanded: 1425, Generated: 4029, Total duration: 0.00238506, First move duration: 8.2049e-05
Solution from (239,365), to (230,302). Optimal cost: 66.7279, Found cost: 69.2132, Expanded: 1464, Generated: 4785, Total duration: 0.00261121, First move duration: 7.2226e-05
Solution from (257,399), to (234,454). Optimal cost: 66.1838, Found cost: 80.1838, Expanded: 1583, Generated: 4360, Total duration: 0.00262359, First move duration: 6.5461e-05
